iter	Passed	Remaining
0	2	216
1	4	203
2	6	198
3	7	179
4	9	179
5	11	182
6	13	179
7	15	176
8	17	172
9	18	170
10	20	163
11	21	157
12	22	152
13	24	147
14	25	144
15	26	139
16	27	134
17	28	130
18	29	125
19	30	121
20	31	118
21	32	114
22	32	110
23	33	106
24	34	103
25	35	100
26	36	97
27	36	94
28	37	92
29	38	89
30	39	87
31	39	84
32	40	82
33	41	80
34	42	78
35	42	76
36	43	74
37	44	72
38	44	70
39	45	68
40	46	66
41	46	64
42	47	63
43	48	61
44	48	59
45	49	58
46	50	56
47	51	55
48	51	53
49	52	52
50	53	50
51	53	49
52	54	48
53	55	47
54	55	45
55	56	44
56	57	43
57	57	41
58	58	40
59	59	39
60	60	38
61	60	37
62	61	36
63	62	35
64	62	33
65	63	32
66	64	31
67	65	30
68	65	29
69	66	28
70	67	27
71	67	26
72	68	25
73	69	24
74	70	23
75	70	22
76	71	21
77	72	20
78	72	19
79	73	18
80	74	17
81	75	16
82	75	15
83	76	14
84	77	13
85	77	12
86	78	11
87	79	10
88	80	9
89	80	8
90	81	8
91	82	7
92	82	6
93	83	5
94	84	4
95	85	3
96	85	2
97	86	1
98	87	0
99	87	0
